status,url,etag,content_length,content_type,last_modified,id
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrandtAugustinus1680ca.html,"""22f27-5b92c80e8e700-gzip""",42458,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BrandtAugustinus1680ca
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrandtTorquatus1645.html,"""36fb4-5b92c80e8e700-gzip""",62987,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BrandtTorquatus1645
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/DeLaCroixGeadeldeBoer1686.html,"""3b64c-4f703da0b9f80-gzip""",43906,text/html,"Mon, 14 Apr 2014 17:17:02 GMT",DeLaCroixGeadeldeBoer1686
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/DeLaCroixGeadeldeBoer1753.html,"""3b719-4ff905fa70f00-gzip""",43961,text/html,"Fri, 01 Aug 2014 12:17:32 GMT",DeLaCroixGeadeldeBoer1753
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoGriane1616.html,"""51f17-5c5d87b4ffa00-gzip""",,text/html,"Mon, 28 Jun 2021 19:27:36 GMT",BrederoGriane1616
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoKluchten1619.html,"""3ab64-608d8a1df7b80-gzip""",,text/html,"Sun, 29 Oct 2023 10:46:22 GMT",BrederoKluchten1619
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoBarbier1622.html,"""6e5d-5cd81b2cfee80-gzip""",7662,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BrederoBarbier1622
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoLucelle1616.html,"""5dd6f-5d184dccf1380-gzip""",,text/html,"Wed, 24 Nov 2021 08:44:14 GMT",BrederoLucelle1616
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoRoddrick1616.html,"""5dabf-5b92c80e8e700-gzip""",,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BrederoRoddrick1616
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrederoBrabander1618.html,"""45e5a-5b92c80e8e700-gzip""",,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BrederoBrabander1618
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenJalouzy1659.html,"""a522-5fb43f2a78a00-gzip""",11911,text/html,"Tue, 09 May 2023 14:55:36 GMT",BreenJalouzy1659
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenJeanRoyRijke1665.html,"""108f0-5fb43d9064280-gzip""",15933,text/html,"Tue, 09 May 2023 14:48:26 GMT",BreenJeanRoyRijke1665
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenKalf1656.html,"""13eea-5bc10c722d280-gzip""",22027,text/html,"Wed, 24 Feb 2021 08:25:30 GMT",BreenKalf1656
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenMinnaers1748ca.html,"""c297-5b92c80ca6280-gzip""",14391,text/html,"Mon, 18 Jan 2021 13:14:34 GMT",BreenMinnaers1748ca
